school,city,status,lat,lon
Cary (Trinity Oaks Christian Academy),Cary,unclassified,42.2196,-88.2426
Chicago (ACE Amandla Charter),Chicago,public_unverified,41.85452758620689,-87.67469195402299
Chicago (Alcott),Chicago,unclassified,41.85452758620689,-87.67469195402299
Chicago (C. Math and Science Charter),Chicago,public_unverified,41.85452758620689,-87.67469195402299
Chicago (C. Tech Academy Charter),Chicago,public_unverified,41.85452758620689,-87.67469195402299
Chicago (Catalyst/Maria),Chicago,public_unverified,41.85452758620689,-87.67469195402299
Chicago (EPIC Academy Charter),Chicago,public_unverified,41.85452758620689,-87.67469195402299
Chicago (Excel Academy/Englewood),Chicago,public_unverified,41.85452758620689,-87.67469195402299
Chicago (Excel Academy/Roseland),Chicago,public_unverified,41.85452758620689,-87.67469195402299
Chicago (Excel Academy/South Shore),Chicago,public_unverified,41.85452758620689,-87.67469195402299
Chicago (Gage Park),Chicago,public_unverified,41.85452758620689,-87.67469195402299
Chicago (Horizon/Belmont),Chicago,public_unverified,41.85452758620689,-87.67469195402299
Chicago (Legal Prep Charter),Chicago,public_unverified,41.85452758620689,-87.67469195402299
Chicago (Lycée Français de Chicago),Chicago,unclassified,41.85452758620689,-87.67469195402299
Chicago (Noble/Baker),Chicago,unclassified,41.85452758620689,-87.67469195402299
Chicago (Steinmetz),Chicago,unclassified,41.85452758620689,-87.67469195402299
Chicago (UCCS/Woodlawn),Chicago,public_unverified,41.85452758620689,-87.67469195402299
Clay City,Clay City,unclassified,38.6695,-88.3516
East St. Louis (SIUE Charter),East St. Louis,public_unverified,38.60604285714286,-90.12527142857142
Elgin (River Valley Christian),Elgin,unclassified,42.035625,-88.308775
Jacksonville (Illinois School for the Deaf),Jacksonville,public_unverified,39.7161,-90.24525
Jacksonville (Illinois School for the Visually Impaired),Jacksonville,public_unverified,39.7161,-90.24525
Meredosia (M.-Chambersburg),Meredosia,unclassified,39.8173,-90.5339
Moline (Quad Cities Christian School),Moline,unclassified,41.49865,-90.50655
Morrisonville,Morrisonville,unclassified,39.4153,-89.4541
Mount Carroll (West Carroll),Mount Carroll,unclassified,42.1053,-89.9845
Naperville (Calvary Christian),Naperville,unclassified,41.76968333333333,-88.1449
Odin,Odin,unclassified,38.6088,-89.0552
West Prairie,Colchester,unclassified,40.4156,-90.7846
